Hidden_State,S1,S2,S3,S4,S5,S6,row_id,Internal_Mobility_Index,External_Mobility_Index,Per_Capita_Income,Cumulative_Cases_Rate,Average_Household_Persons,Inmigrants,Total_Households_Housed,Housing_Precariousness_Index,Commune,Date,Days,Higher_Education_Percentage,Postgraduade_Percentage,Social_Priority_Index_2020,Priority_2020,Code,Year,Month,Step,Step_Label,Quarantine_Start_Date,Quarantine_End_Date,Gross_Daily_Cases,Gross_Daily_Cases_Mobile_Average_7_Days
4.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.97038064028233,7.80400806654903,267197.56,2.24830253158865,3.145581196,3606,68120,3.3957924,Cerrillos,2020-03-31,2020-04-02,11.9,0.5,67.81,Media Baja Prioridad Social,13102,2020,3,0,Sin Medida,2020-05-05,2020-08-31,2.24830253158865,2.24830253158865
4.0,3.218544545160176e-148,2.3184811770414024e-157,1.2648157276486947e-156,0.9999809634698094,9.679336468458623e-159,1.9036530190724086e-05,1,1.84579026972523,7.47145197882531,267197.56,4.4966050631773,3.145581196,3606,68120,3.3957924,Cerrillos,2020-04-01,2020-04-03,11.9,0.5,67.81,Media Baja Prioridad Social,13102,2020,4,0,Sin Medida,2020-05-05,2020-08-31,2.24830253158865,2.24830253158865
4.0,5.536452553540304e-12,4.9694622540951336e-20,1.1716698232676932e-18,0.9999986153269615,1.3443100445532239e-20,1.3846675019411093e-06,2,1.67859843710613,6.89173178724477,267197.56,4.4966050631773,3.145581196,3606,68120,3.3957924,Cerrillos,2020-04-02,2020-04-04,11.9,0.5,67.81,Media Baja Prioridad Social,13102,2020,4,0,Sin Medida,2020-05-05,2020-08-31,0.0,1.498868354392433
4.0,1.738038754260534e-13,1.498231357334254e-18,4.9457264140212416e-21,0.999999344111982,5.921117074417961e-23,6.55887844214309e-07,3,1.73676581799849,8.31787244769347,267197.56,4.4966050631773,3.145581196,3606,68120,3.3957924,Cerrillos,2020-04-03,2020-04-05,11.9,0.5,67.81,Media Baja Prioridad Social,13102,2020,4,0,Sin Medida,2020-05-05,2020-08-31,0.0,1.124151265794325
4.0,1.1373562923813212e-13,4.87813357053573e-16,1.098263984153468e-18,0.999999831202298,3.036691449227651e-20,1.687975877954133e-07,4,1.33129568943786,6.37849760524326,267197.56,4.4966050631773,3.145581196,3606,68120,3.3957924,Cerrillos,2020-04-04,2020-04-06,11.9,0.5,67.81,Media Baja Prioridad Social,13102,2020,4,0,Sin Medida,2020-05-05,2020-08-31,0.0,0.8993210126354599
4.0,5.997419786337852e-16,2.615553096888874e-12,1.4152781462018815e-19,0.9999998723204647,6.861246319920648e-21,1.2767691909813907e-07,5,1.08564406352407,5.08022435089488,267197.56,5.62075632897163,3.145581196,3606,68120,3.3957924,Cerrillos,2020-04-05,2020-04-07,11.9,0.5,67.81,Media Baja Prioridad Social,13102,2020,4,0,Sin Medida,2020-05-05,2020-08-31,1.12415126579433,0.9367927214952716
4.0,9.326286309931957e-15,4.226862650605993e-17,1.38121528109958e-21,0.9999997974739058,2.1025954245248044e-18,2.0252608494555398e-07,6,1.73556843962692,8.08312326695236,267197.56,5.62075632897163,3.145581196,3606,68120,3.3957924,Cerrillos,2020-04-06,2020-04-08,11.9,0.5,67.81,Media Baja Prioridad Social,13102,2020,4,0,Sin Medida,2020-05-05,2020-08-31,0.0,0.80296518985309
4.0,1.9370626564242814e-14,2.8185307359541637e-21,1.1642601925874987e-21,0.9999996298150837,3.2005119678738587e-23,3.701848968853074e-07,7,1.73266952356945,8.2357574993698,267197.56,8.9932101263546,3.145581196,3606,68120,3.3957924,Cerrillos,2020-04-07,2020-04-09,11.9,0.5,67.81,Media Baja Prioridad Social,13102,2020,4,0,Sin Medida,2020-05-05,2020-08-31,3.37245379738297,0.9635582278237071
4.0,5.3074097768476634e-14,6.564193185577235e-21,1.8082277503296557e-21,0.9999993354326724,2.870607406725965e-23,6.645672744197389e-07,8,1.66397781699017,8.29688681623393,267197.56,12.3656639237376,3.145581196,3606,68120,3.3957924,Cerrillos,2020-04-08,2020-04-10,11.9,0.5,67.81,Media Baja Prioridad Social,13102,2020,4,0,Sin Medida,2020-05-05,2020-08-31,3.372453797383001,1.124151265794329
4.0,6.721785946832388e-13,2.8684879123997625e-20,1.1412727063089182e-21,0.9999885617398955,6.937637023141316e-23,1.1438259432350973e-05,9,1.4635114696244,8.62837156541467,267197.56,17.9864202527092,3.145581196,3606,68120,3.3957924,Cerrillos,2020-04-09,2020-04-11,11.9,0.5,67.81,Media Baja Prioridad Social,13102,2020,4,0,Sin Medida,2020-05-05,2020-08-31,5.620756328971598,1.927116455647414
