sim_1,sim_2,sim_3,sim_4,sim_5,sim_6,sim_7,sim_8,sim_9,sim_10,sim_11,sim_12,sim_13,sim_14,sim_15,sim_16,sim_17,sim_18,sim_19,sim_20,sim_21,sim_22,sim_23,sim_24,sim_25,sim_26,sim_27,sim_28,sim_29,sim_30,sim_31,sim_32,sim_33,sim_34,sim_35,sim_36,sim_37,sim_38,sim_39,sim_40,sim_41,sim_42,sim_43,sim_44,sim_45,sim_46,sim_47,sim_48,sim_49,sim_50,sim_51,sim_52,sim_53,sim_54,sim_55,sim_56,sim_57,sim_58,sim_59,sim_60,sim_61,sim_62,sim_63,sim_64,sim_65,sim_66,sim_67,sim_68,sim_69,sim_70,sim_71,sim_72,sim_73,sim_74,sim_75,sim_76,sim_77,sim_78,sim_79,sim_80,sim_81,sim_82,sim_83,sim_84,sim_85,sim_86,sim_87,sim_88,sim_89,sim_90,sim_91,sim_92,sim_93,sim_94,sim_95,sim_96,sim_97,sim_98,sim_99,sim_100,Date,Commune
3.9057677,3.7821293,4.723749,4.462886,3.192197,3.2268913,3.720015,4.6574273,4.8083405,2.7915006,2.482537,2.7048275,2.4385207,3.9909751,4.0038915,4.2010717,3.700086,4.865346,5.302609,4.364987,4.978134,4.422049,4.8901587,5.0188746,3.2336888,3.8400514,2.7326024,3.6116834,2.7874634,3.2937624,3.9839706,3.220767,3.5582721,4.38917,4.3404384,4.371637,4.2380214,2.725986,5.774921,5.095247,2.5762537,5.305426,3.4108648,3.9461665,2.7976375,4.9885774,3.1675036,3.4785986,2.8366666,4.2580457,3.2879777,2.6055796,2.7991447,4.659328,5.0302424,3.2009678,3.835556,4.5261602,4.6167693,4.568809,2.3073676,3.7473109,3.6779563,4.4182506,4.4910674,2.7566483,4.16797,4.6600323,3.3585622,3.5565891,3.1853867,3.4534338,3.0221732,2.84385,3.6436558,4.628039,4.780014,3.6642034,5.6840324,3.299558,3.664061,4.431343,4.5810056,5.5879436,4.9061975,2.7699609,5.6982226,3.9148724,3.6747766,3.9426422,4.2541513,2.6643043,4.045497,3.8920329,4.873205,4.251572,4.147922,4.016078,3.943533,4.492295,2020-04-07,Cerrillos
4.7179437,5.532308,3.561162,2.9462204,3.1222107,4.1853223,4.1455526,5.1354566,3.0879905,3.3575082,3.769938,5.034997,3.275794,4.0573206,3.5623195,5.7894225,4.2616477,3.8739867,3.5566692,2.8681755,4.716952,4.5630374,2.8871047,4.996297,5.8328714,3.3148255,3.6021926,3.0135424,4.031553,4.920678,3.3367846,4.0237427,4.1049366,4.848952,4.7058043,4.372248,3.7036831,3.0484126,3.5788925,5.831885,4.2296495,6.3385024,3.670097,4.5079637,3.386824,3.4865146,4.8468256,5.094159,4.6820583,2.6867294,5.111286,3.8625488,4.1086707,3.911089,3.6294758,2.847571,3.6372313,4.785794,5.5856,3.255474,4.432547,3.4213576,4.023049,4.0623183,4.453108,3.937067,3.6720161,2.8099947,3.2097178,3.4614534,3.7713,3.0894897,5.1165714,2.4673393,4.440756,3.7687106,3.3056173,3.3493152,3.2398803,3.5819194,4.3781624,5.476784,4.561336,5.38315,3.7627263,3.4554043,3.5566175,4.6885633,4.6915517,3.6099277,3.7367458,3.7915266,2.6942,3.88985,4.2534547,3.2766666,2.5894186,3.2578695,4.258807,4.4394016,2020-04-08,Cerrillos
2.6690717,4.3080153,3.2880967,4.0999956,3.7430408,3.8856213,3.8386297,3.695205,5.0158787,2.720903,3.1307793,2.3452675,4.741397,2.8006024,5.0620027,3.4668705,4.6687846,4.8142447,3.635763,3.481284,4.319642,3.9697025,3.781842,3.8232791,3.952055,3.4712288,4.8119245,3.1614003,4.6186104,4.181472,4.971808,3.7788744,3.4559922,3.5222445,2.4576416,2.9928005,3.3970034,3.7224078,3.662088,3.571212,3.423947,5.69952,3.6806495,3.0608292,4.300827,3.1095765,2.5730736,4.017178,5.953488,3.9426188,4.844583,6.0887737,3.4685202,3.941601,3.3468914,5.37981,4.4628496,3.4896271,4.5601864,4.347249,3.748212,3.4452224,3.366885,2.7055783,3.3752644,2.657942,4.469893,3.7175834,5.1923323,3.189315,3.8144178,3.5627444,4.1807184,4.7138057,4.157555,6.9325237,3.1922102,2.9966304,4.4431252,4.7002287,4.431817,4.5797706,5.022047,5.264279,3.240279,4.9807105,4.9468865,3.695912,2.5649893,4.43993,3.5647666,4.197441,3.6060278,3.233466,3.9324784,2.733405,4.837804,3.720559,2.6644907,1.7520882,2020-04-09,Cerrillos
3.5257638,4.9954114,4.5707617,3.7925858,3.118008,2.5559804,4.408843,5.4419656,4.946762,4.289472,4.144926,3.62106,4.063898,4.3640084,2.9940383,3.8967226,5.1706944,4.5046077,4.750491,3.5263205,4.1083574,2.7903662,3.3938882,3.414959,4.2821255,4.990121,3.0080836,5.0012193,2.8130062,5.0325522,3.8095055,4.0533175,3.1941419,4.106537,4.3102865,3.4914632,2.7431312,3.8752193,4.1072383,3.1171587,3.720639,2.9160063,3.0786345,4.716193,3.24776,3.6708171,3.186086,3.123622,2.3884656,4.036359,4.136386,3.1309555,3.8984964,4.824851,3.577753,3.4593973,4.023181,6.1149354,5.821232,4.831936,4.1552687,4.752594,2.8019984,3.5502524,4.1526427,2.7265196,3.9095173,3.3869197,4.682939,4.9329834,2.773524,3.921429,5.2163835,2.1260223,2.556242,4.1592045,4.5143623,3.990131,6.355754,4.748989,4.083855,4.7420983,5.7180867,3.507241,5.2408857,3.766784,3.1074946,2.7843637,2.3701708,5.3541217,3.746384,3.4452665,3.9523942,4.3343763,4.826669,3.1447964,4.657779,3.699993,3.7662764,3.3021731,2020-04-10,Cerrillos
3.2295456,4.4077244,3.6943505,4.1417,5.07451,4.2365866,2.9312067,4.643633,4.0555105,4.4753566,4.548381,3.4745305,3.303999,2.8892438,4.296316,5.0383115,5.9835753,6.0881705,4.7244563,5.4489,4.101679,3.8039873,2.8413303,5.4409556,4.281719,4.7888494,3.3976922,4.639738,2.9550197,3.5065444,3.8860745,3.6869109,3.1624775,3.8167872,5.032995,4.2003727,4.41571,4.0887856,2.851411,2.757671,3.778486,5.08514,3.9475725,4.2148037,2.6785388,3.348963,4.8048005,4.130767,4.4430943,3.9412413,3.6253817,1.8701668,3.1290367,2.8283179,4.1518064,4.292463,3.6727073,4.3089166,3.5109982,5.019613,3.702743,4.84854,4.354598,4.3801537,3.821627,4.5439863,3.9546912,4.2757945,2.2246563,4.249987,3.2778707,4.380602,3.0871515,3.9399283,3.9617293,4.943629,3.6246488,4.0514035,2.7308207,3.7006016,3.3253984,3.6324043,2.484466,4.590613,2.7474012,4.277084,4.028264,4.5529976,4.5006275,3.7969956,4.534998,4.263805,4.382272,4.797739,4.6899357,3.6132343,4.382067,4.3519154,4.1055346,4.4036403,2020-04-11,Cerrillos
3.295306,3.8924499,4.913399,2.718891,4.4563317,3.301979,3.627127,3.0170925,3.2969139,5.1518817,2.952021,3.337072,3.9261186,3.4295766,2.977367,3.1125934,3.3699923,3.233738,3.7251837,4.0120535,3.8612463,4.3516483,3.7239666,5.3288975,4.3150535,4.5396876,3.5461276,4.8125405,4.125971,4.2815533,3.3256702,4.234989,4.337401,4.3881216,2.78657,4.542215,3.6059034,3.3306966,2.9855447,3.367364,5.3733516,5.2082863,4.268585,2.6552489,3.7230136,4.170127,6.0302715,5.1058483,5.4487243,4.536728,3.994761,5.0533047,3.1082792,4.7869253,4.285572,2.9947996,3.9638526,3.4922218,4.172416,4.5426683,4.144253,4.5015416,4.817712,3.0021925,4.9626775,5.3689985,4.2542057,3.776971,5.308262,3.056427,4.328532,3.8197393,4.0762606,2.198303,6.268946,2.8794734,3.1890664,5.4111867,4.440085,2.851802,4.60935,3.0276215,3.3929896,2.97362,3.589473,4.09839,5.155476,3.321768,5.289682,3.0665908,3.5564208,2.7140539,4.374115,4.219268,3.852574,4.0864215,3.7483,3.3017201,2.90548,2.6396496,2020-04-12,Cerrillos
5.2019396,3.125818,3.250971,2.873554,4.2699265,2.7791278,4.273298,4.709766,4.2932525,3.491515,3.3873107,2.6462634,2.0038755,4.5758758,3.1623738,3.83408,5.3827796,3.8327618,4.175907,5.3739934,2.5277963,3.4434617,7.3185716,3.8171885,5.3598137,5.1958694,3.6936824,3.7575939,3.8439872,4.3745346,3.1042163,3.9769557,4.2518516,4.2414575,2.7832658,3.0109348,3.95784,4.3647513,4.8888845,4.658983,4.52753,2.899656,3.4785779,4.559119,3.4183512,3.8431172,5.3952794,3.8066752,6.8268795,4.792094,3.2331786,4.3456874,4.7526665,3.3279154,3.774265,4.3343945,3.1311808,4.647724,3.3282754,2.3526165,4.9449134,4.060705,4.3290915,2.6131773,2.9476888,4.792806,3.4154716,3.3544967,2.4676058,2.3562832,4.20956,3.939646,3.2447355,5.1071324,3.9443433,5.197102,3.43105,4.5431576,3.1680293,3.16537,5.275261,3.6870325,3.8825812,3.5707717,2.9634717,2.7637384,3.0260134,2.5932252,4.000427,4.1993833,2.9498043,3.5602531,3.5619829,4.6372056,4.204446,4.523524,4.765013,4.2908936,3.061272,2.5482507,2020-04-13,Cerrillos
3.223341,4.2140064,3.825273,2.9549654,4.5866146,2.4970822,3.3099988,4.16312,2.910035,4.4349294,3.5518036,3.7141006,4.4868336,4.2665887,4.5293994,3.7352076,3.9461017,4.163029,3.5678482,2.3521893,3.1511898,2.5184405,2.2507715,4.2220078,2.9774551,5.0393705,3.2292633,5.078309,3.426112,4.189357,4.8137345,3.6225073,4.6337204,2.5072072,2.677718,4.6361985,3.8476748,4.5748763,5.2273684,3.8413513,3.6847615,2.8500543,3.3844728,4.5764484,3.4857428,3.3723745,5.843118,4.745742,3.9514077,3.249503,4.907609,4.0446634,2.2307858,2.7392728,3.2494252,5.167662,3.9587772,5.057461,3.939255,5.004863,3.346728,3.1440609,4.3022976,3.2867138,3.4850075,4.045585,2.7545276,4.105449,4.9064307,3.6008282,3.2009237,4.894426,5.0619874,5.0768538,3.2175095,4.8393345,3.717586,3.0143814,3.3646553,4.1152015,3.4489357,5.503798,3.2327747,3.7484684,3.6441426,2.9176867,4.054146,5.929424,2.686227,5.3296742,3.5231533,4.17,4.0203557,2.6958315,3.314533,3.9258828,2.8811178,3.3049078,5.2968836,4.3419094,2020-04-14,Cerrillos
3.9067698,5.2762346,3.713756,5.504808,4.3329134,4.1214213,2.968151,6.0600486,4.04616,1.6179882,5.713353,3.960494,3.4058516,2.7054644,3.4241517,3.372908,4.6153164,4.7753606,3.7982438,5.1112113,3.2700944,3.2370448,3.0530272,4.887144,2.7267241,1.9491699,2.1946518,4.1715875,3.1489317,5.6381774,5.0500107,2.2557538,2.9970784,3.330971,4.389331,3.8090963,3.267132,4.1761527,3.5405755,4.3602066,3.4387279,4.5222034,4.250342,4.326339,2.7994475,3.5757358,3.4694939,2.8104918,4.6167254,3.3416605,4.492556,3.84587,2.5410907,4.4200993,3.5413318,3.5932434,5.5571675,2.5704505,2.7485354,5.158506,4.51371,4.592547,3.143284,3.8433528,4.950191,2.913541,4.2809577,4.826107,3.4713712,3.0656016,4.8807454,4.5503044,3.8296545,4.383318,3.7775044,4.134791,3.6587527,4.6573,4.417787,2.9101565,3.3133702,3.615961,3.0454736,2.7876058,4.613553,3.7063138,3.319647,4.3046827,3.0524108,3.354111,3.233593,4.5777273,3.835789,4.1902475,3.9979615,3.0260367,3.317692,3.3462543,3.789916,2.652807,2020-04-15,Cerrillos
5.1877203,5.1664114,5.9197106,4.41462,2.4769177,4.3062882,2.6181724,5.622239,4.844961,3.9474301,4.5611157,4.385115,4.390279,3.8789482,4.960026,4.317229,4.4877343,4.0500755,4.597617,5.1570816,4.375829,3.3570085,5.2409477,3.8816102,4.077793,3.779848,4.2024674,2.2563026,4.4661922,4.556636,2.959396,4.8106556,3.3165061,4.0536823,4.254519,4.686709,5.033148,2.9110343,3.343872,2.6853595,4.437094,4.438301,3.6986568,4.975262,3.1703858,2.6750844,5.6752977,5.0823255,2.1372194,3.7385454,3.3953202,4.1342573,3.7030642,3.4352813,3.6405199,4.3149424,3.1137714,4.905312,3.310514,4.017085,3.8230875,4.299887,3.6954873,4.166955,2.6278079,2.5545433,4.4560184,3.9207737,1.9591238,3.8725417,4.900638,4.2989135,4.344025,4.554911,3.0791214,4.388238,4.601854,2.7550843,3.438513,4.071749,4.8651776,4.4620934,3.2251642,4.394448,3.5621643,3.7541058,3.0375109,5.4059377,4.289402,3.4167094,3.2235093,4.5946393,3.8122296,3.9974747,4.8890476,1.9236659,4.2310476,3.4158938,4.5844703,4.7909884,2020-04-16,Cerrillos
